name,url,remote,adaptive,test_type,duration_minutes,job_levels,description
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,['Simulations'],8.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Simulated data entry test that measures the ability to process receivables and invoices.
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects."
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,['Knowledge & Skills'],17.0,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,","This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills."
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,['Knowledge & Skills'],20.0,"Professional Individual Contributor, Mid-Professional,","The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security."
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas."
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start."
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,['Knowledge & Skills'],7.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF."
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,['Knowledge & Skills'],13.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications."
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,No,['Personality & Behavior'],16.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts."
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,['Knowledge & Skills'],6.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries."
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,No,['Knowledge & Skills'],7.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Simulated data entry test that measures the ability to process payables and vendor invoices.
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Yes,No,['Knowledge & Skills'],11.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Multiple-choice test that measures the knowledge of processing receivables and invoices.
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,Yes,No,['Knowledge & Skills'],9.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Simulated data entry test that measures the ability to process receivables and invoices.
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,['Knowledge & Skills'],7.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects."
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,['Knowledge & Skills'],17.0,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,","This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills."
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,['Knowledge & Skills'],20.0,"Professional Individual Contributor, Mid-Professional,","The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security."
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas."
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start."
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,['Knowledge & Skills'],7.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF."
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,['Knowledge & Skills'],13.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications."
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,No,['Personality & Behavior'],16.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts."
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,['Knowledge & Skills'],6.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries."
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,No,['Knowledge & Skills'],7.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Simulated data entry test that measures the ability to process payables and vendor invoices.
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Yes,No,['Knowledge & Skills'],11.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Multiple-choice test that measures the knowledge of processing receivables and invoices.
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,Yes,No,['Knowledge & Skills'],9.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Simulated data entry test that measures the ability to process receivables and invoices.
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,['Knowledge & Skills'],7.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects."
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,['Knowledge & Skills'],17.0,"Mid-Professional, Professional Individual Contributor,",A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,['Knowledge & Skills'],20.0,"Professional Individual Contributor, Mid-Professional,",A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,['Knowledge & Skills'],10.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager,","Simulation based test that measures the front-end development capabilities using HTML, CSS, and JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored."
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.

Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/"
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,['Knowledge & Skills'],7.0,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,",A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,['Knowledge & Skills'],13.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client."
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,No,['Personality & Behavior'],16.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting."
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,['Knowledge & Skills'],6.0,"Professional Individual Contributor, Graduate, Mid-Professional,",Multi choice test that measures the candidate's basic understanding of Biology.
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,No,['Knowledge & Skills'],7.0,"Entry-Level,","The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer."
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Yes,No,['Knowledge & Skills'],11.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing."
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,Yes,No,['Knowledge & Skills'],9.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism."
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,['Knowledge & Skills'],7.0,"Graduate, Professional Individual Contributor, Mid-Professional,","Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis."
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,['Knowledge & Skills'],17.0,"Mid-Professional, Professional Individual Contributor,",A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,['Knowledge & Skills'],20.0,"Professional Individual Contributor, Mid-Professional,",A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,['Knowledge & Skills'],10.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager,","Simulation based test that measures the front-end development capabilities using HTML, CSS, and JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored."
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.

Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/"
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,['Knowledge & Skills'],7.0,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,",A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,['Knowledge & Skills'],13.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client."
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,No,['Personality & Behavior'],16.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting."
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,['Knowledge & Skills'],6.0,"Professional Individual Contributor, Graduate, Mid-Professional,",Multi choice test that measures the candidate's basic understanding of Biology.
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,No,['Knowledge & Skills'],7.0,"Entry-Level,","The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer."
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Yes,No,['Knowledge & Skills'],11.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing."
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,Yes,No,['Knowledge & Skills'],9.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism."
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,['Knowledge & Skills'],7.0,"Graduate, Professional Individual Contributor, Mid-Professional,","Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis."
COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing."
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Yes,No,['Knowledge & Skills'],12.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication."
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,['Simulations'],15.0,"Entry-Level,",Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,['Simulations'],11.0,,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response."
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,['Knowledge & Skills'],13.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency."
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,['Knowledge & Skills'],13.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class."
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,Yes,Yes,"['Knowledge & Skills', 'Simulations']",5.0,"Entry-Level,",The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Yes,No,['Knowledge & Skills'],8.0,"Mid-Professional, Professional Individual Contributor,",Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,Yes,No,['Knowledge & Skills'],7.0,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety."
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,"['Biodata & Situational Judgement', 'Simulations']",20.0,"Entry-Level,","As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese."""
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,No,"['Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']",30.0,"Entry-Level,","As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese."""
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,Yes,No,['Knowledge & Skills'],9.0,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management."
COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing."
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Yes,No,['Knowledge & Skills'],12.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication."
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,['Simulations'],15.0,"Entry-Level,",Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,['Simulations'],11.0,,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response."
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,['Knowledge & Skills'],13.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency."
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,['Knowledge & Skills'],13.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class."
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,Yes,Yes,"['Knowledge & Skills', 'Simulations']",5.0,"Entry-Level,",The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Yes,No,['Knowledge & Skills'],8.0,"Mid-Professional, Professional Individual Contributor,",Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,Yes,No,['Knowledge & Skills'],7.0,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety."
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,"['Biodata & Situational Judgement', 'Simulations']",20.0,"Entry-Level,","As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese."""
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,No,"['Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']",30.0,"Entry-Level,","As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese."""
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,Yes,No,['Knowledge & Skills'],9.0,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management."
COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm."
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Yes,No,['Knowledge & Skills'],12.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries."
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,['Simulations'],15.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security."
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,['Simulations'],11.0,,DSI v1.1 Interpretation Report
